E6 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0722; 0.0384; 0.183;  26.48  ; 102.77  ; 20.41  ; 1.44  ; -0.054 ; 0.0384 ; 0.183;  45.39  ; 114.93  ; 8.87  ; 5.4  ; -0.1034 ; 0.075 ; 0.2631
E6 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.1522; 0.0097; 0.094;  15.8  ; 109.91  ; 14.68  ; 4.45  ; -0.0593 ; 0.0097 ; 0.094;  152.83  ; 231.73  ; 50.12  ; 31.69  ; -1.1768 ; 0.3056 ; 0.5242
E6 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0797; 0.0165; 0.1247;  19.24  ; 91.45  ; 18.92  ; 18.4  ; -0.0414 ; 0.0115 ; 0.1035;  21.93  ; 158.78  ; 14.05  ; 13.44  ; -0.215 ; 0.0061 ; 0.075
E6 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0795; 0.0113; 0.1024;  16.86  ; 101.98  ; 16.76  ; 6.29  ; -0.0475 ; 0.0125 ; 0.1064;  19.66  ; 145.19  ; 6.89  ; 6.52  ; -0.1516 ; 0.0065 ; 0.0769
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0657; 0.0101; 0.0968;  21.88  ; 95.02  ; 16.18  ; 7.41  ; -0.0416 ; 0.023 ; 0.1452;  51.28  ; 122.06  ; 24.1  ; 3.0  ; -0.1284 ; 0.1058 ; 0.3021
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0672; 0.0051; 0.0681;  16.04  ; 92.51  ; 15.97  ; 15.92  ; -0.0385 ; 0.0079 ; 0.0845;  14.38  ; 155.2  ; 3.15  ; 1.44  ; -0.1636 ; 0.0034 ; 0.0563
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.1064; 0.0127; 0.1087;  20.57  ; 95.23  ; 13.14  ; 11.07  ; -0.0427 ; 0.0156 ; 0.1203;  32.85  ; 119.63  ; 20.59  ; 19.86  ; -0.1227 ; 0.0239 ; 0.1498
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0719; 0.0163; 0.123;  28.27  ; 101.73  ; 18.52  ; 8.51  ; -0.061 ; 0.0338 ; 0.1746;  74.46  ; 182.14  ; 18.43  ; 11.35  ; -0.4628 ; 0.0806 ; 0.2715
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0674; 0.0137; 0.1108;  25.27  ; 99.64  ; 10.49  ; 7.99  ; -0.0522 ; 0.0245 ; 0.1502;  8.05  ; 170.78  ; 4.05  ; 1.34  ; -0.2001 ; 0.0008 ; 0.0275
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0627; 0.0207; 0.1377;  23.1  ; 92.8  ; 17.59  ; 13.3  ; -0.0411 ; 0.0207 ; 0.1377;  67.06  ; 150.92  ; 20.91  ; 9.34  ; -0.2838 ; 0.1071 ; 0.3128
E12 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0702; 0.0247; 0.1527;  27.73  ; 97.81  ; 13.12  ; 8.84  ; -0.0512 ; 0.0319 ; 0.1712;  54.49  ; 130.86  ; 15.24  ; 4.81  ; -0.1674 ; 0.0954 ; 0.2959
